VARIABLE;UNIDAD;ACTIVO;RAMA;LUGAR;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Inversión bruta;Miles de euros constantes base 2020;0. Total;0. Total;España;49422841,94;56363696,62;62404908,58;68913810,74;78660672,28;82833760,38;82611538,05;80076447,44;90919424,43;102598849,6;108581700,7;103046224,4;102268912,1;101243912,8;98222712,4;93797630,7;93554282,98;91830845,76;92541371,07;90730748,2;85643890,29;90282879,63;98977862,44;110979632,9;125627501,8;141360666;151245598,7;153895812,9;148554706,2;136043000,8;138771776,6;149525759,5;153264571,1;161732394,6;179141153,4;196894204,7;211978102,8;220854688,2;229874850,4;244994635,8;256179909,9;274051507,8;293946813,8;305691057,4;292858497,7;242697008,2;230214900,9;213305683,5;198089589,5;191131135;199481699,2;210107404,7;214378627,4;228850892,7;243699866,1;255620112,6;232798000;238933000;249081620,8;263788472,7;273189297;287053623,1
Inversión bruta;Miles de euros constantes base 2020;0. Total;1. Agricultura, ganadería, silvicultura y pesca;España;2382602,409;2858697,308;2932214,63;2853004,947;3993412,969;4039080,154;3785313,627;3813263,78;3783876,102;3696963,369;4469998,761;4632868,576;5103092,767;3655879,872;3761388,269;4132629,883;4972420,851;4855790,015;4604624,807;5099464,816;4887985,85;3919946,951;4167463,935;4140438,624;3862093,991;4249903,803;4481218,326;4075529,899;3214012,273;2812512,722;3107423,916;2943417,734;3539404,496;3745402,511;4172776,508;4511090,537;4058458,694;3677036,229;3848554,054;4089668,581;4283923,564;4425356,139;3988499,375;4323067,856;5086067,838;5322641,413;4547179,275;4257673,554;3947022,52;3766904,7;3945162,713;4405945,646;5358774,314;5657177,622;5615512,266;5361302,631;5337300;5475549,891;4754991,566;4758678,471;4856138,249;5033164,636
Inversión bruta;Miles de euros constantes base 2020;0. Total;2. Industria;España;9309273,867;11096442,91;13439151,64;13110875,83;14037297,56;16650726,93;17682551,86;16125920,03;17937639,61;21164961,53;23753264,36;22142702,47;23221411,38;24128933,1;23017796,33;21721910,68;22768881,4;22808670,7;19344112,58;20322664,9;20506144,5;19854547,41;23016738,31;27441883,61;25536045,11;27117190,87;30079772,14;33005129,44;28404682,18;26040786,12;23824382,7;26696690,66;28266286,87;30065642,43;34377965,68;37932091,69;33293614,08;31993915,22;32086273,91;32072003,32;33708591,56;32779082,08;36587312,4;37085587,02;39007792,91;40153087,9;37624982,23;37030318,14;41002359,55;42357205,67;38225430,61;43150055,15;47157993,73;45654628,47;49929548,8;52896919,4;48086800;47646232,14;46922893,58;51330392,52;54838770,31;56849443,91
Inversión bruta;Miles de euros constantes base 2020;0. Total;2.1. Energía;España;2814776,129;3357347,323;4312732,177;4438890,637;4473683,299;5074126,48;5371431,435;4770692,765;5290205,546;6284493,255;6402810,004;7049172,983;7729553,211;9089963,732;9151895,554;8347943,907;10044855,87;10876029,46;9336088,795;10520407,34;10137355,45;7979938,893;9632469,005;10237774,12;6654475,079;6306160,929;7474895,769;7531839,864;7529819,866;6883602,067;7290026,086;7531576,388;7715129,392;8021430,033;8816528,663;9876759,183;9063816,9;7744831,714;8719727,868;8715035,496;10393667,72;10866068,58;13277701,7;13338140,78;14286309,49;22600298,47;20484304,94;20558726,99;22646958,6;23800824,71;20000861,78;18208835,04;17441184,76;15089201,81;13875522,84;14698645,88;12531000;12375120,62;13410366,11;15251158,84;15917641,07;15811965,42
Inversión bruta;Miles de euros constantes base 2020;0. Total;2.1.1. Industrias extractivas;España;191955,1653;195663,5097;329668,2744;280570,8244;372837,568;493883,3998;452007,6653;413445,8631;405338,3969;511603,6527;758163,3261;1140970,582;1119910,782;1220761,764;1121405,875;1015804,23;949248,8777;870084,9949;641693,7313;698381,9085;960820,865;1141928,317;1114302,592;765024,7063;831367,6341;906407,3607;835203,6921;881597,6942;753544,4463;714640,9224;702849,6047;762503,6133;817641,0607;885254,517;1044445,488;1149897,326;593221,6433;678420,5587;671188,8194;636949,5463;538714,6119;533370,8146;771582,2459;628329,4831;648045,0999;1042599,462;1310848,557;638148,0597;817194,2552;661386,5916;1034079,084;922509,9159;908885,4288;767837,466;927816,9253;1183307,942;611900;972198,0515;1441877,972;1222032,419;1300920,821;1284363,453
Inversión bruta;Miles de euros constantes base 2020;0. Total;"2.1.2. Energía eléctrica, gas y agua; actividades de saneamiento y gestión de residuos";España;2622820,964;3161683,814;3983063,903;4158319,812;4100845,731;4580243,08;4919423,77;4357246,902;4884867,149;5772889,602;5644646,677;5908202,401;6609642,43;7869201,968;8030489,68;7332139,677;9095606,988;10005944,46;8694395,064;9822025,433;9176534,582;6838010,576;8518166,413;9472749,418;5823107,445;5399753,568;6639692,077;6650242,17;6776275,42;6168961,144;6587176,481;6769072,775;6897488,331;7136175,516;7772083,175;8726861,858;8470595,257;7066411,156;8048539,048;8078085,95;9854953,105;10332697,76;12506119,45;12709811,3;13638264,39;21557699;19173456,38;19920578,93;21829764,34;23139438,12;18966782,69;17286325,13;16532299,34;14321364,34;12947705,92;13515337,94;11919100;11402922,57;11968488,14;14029126,42;14616720,25;14527601,96
Inversión bruta;Miles de euros constantes base 2020;0. Total;2.1.2.1. Suministro de energía eléctrica, gas, vapor y aire acondicionado;España;1340052,749;1763753,173;2330999,645;2471160,595;2412945,45;2720481,479;2968190,837;2512907,918;2836952,944;3627031,023;3595902,17;3997531,41;4569527,699;5710139,211;5878485,631;5323018,616;7304512,005;8429473,589;7233454,317;7725916,887;6923333,708;4218883,904;6524669,787;6917883,4;3262516,741;2754500,801;3138657,772;3261871,31;3253667,413;3499723,168;4140116,851;3761011,287;3953458,611;4211538,284;4390813,906;4884395,504;4174011,852;2826821,412;3857329,465;3620604,046;6017460,704;6587128,027;8383426,391;7293765,388;8781129,949;17167231,96;13399004,03;16415353,9;18824987,73;20445228,76;16691152,29;14220155,12;13568760,09;11251214,7;9771633,062;10633464,99;8801400;8041991,305;8428516,877;9405897,207;10188479,85;9937656,114
Inversión bruta;Miles de euros constantes base 2020;0. Total;"2.1.2.2. Suministro de agua; actividades de saneamiento, gestión de residuos y descontaminación";España;1282768,214;1397930,64;1652064,258;1687159,217;1687900,281;1859761,601;1951232,933;1844338,984;2047914,205;2145858,579;2048744,508;1910670,991;2040114,731;2159062,757;2152004,049;2009121,061;1791094,983;1576470,875;1460940,747;2096108,546;2253200,874;2619126,673;1993496,626;2554866,018;2560590,705;2645252,768;3501034,305;3388370,86;3522608,007;2669237,976;2447059,63;3008061,488;2944029,72;2924637,232;3381269,269;3842466,354;4296583,405;4239589,744;4191209,584;4457481,904;3837492,401;3745569,737;4122693,062;5416045,914;4857134,442;4390467,048;5774452,349;3505225,04;3004776,611;2694209,361;2275630,409;3066170,001;2963539,247;3070149,642;3176072,856;2881872,952;3117700;3360931,266;3539971,262;4623229,211;4428240,403;4589945,849
Inversión bruta;Miles de euros constantes base 2020;0. Total;2.2. Manufacturas;España;6494497,738;7739095,584;9126419,462;8671985,191;9563614,26;11576600,45;12311120,42;11355227,27;12647434,06;14880468,27;17350454,36;15093529,49;15491858,17;15038969,37;13865900,78;13373966,77;12724025,53;11932641,24;10008023,78;9802257,56;10368789,05;11874608,52;13384269,31;17204109,49;18881570,03;20811029,94;22604876,38;25473289,57;20874862,32;19157184,06;16534356,61;19165114,28;20551157,48;22044212,39;25561437,02;28055332,5;24229797,18;24249083,5;23366546,04;23356967,83;23314923,85;21913013,5;23309610,7;23747446,23;24721483,42;17552789,44;17140677,3;16471591,15;18355400,95;18556380,96;18224568,83;24941220,11;29716808,97;30565426,66;36054025,96;38198273,52;35555800;35271111,52;33512527,47;36079233,68;38921129,24;41037478,5
Inversión bruta;Miles de euros constantes base 2020;0. Total;2.2.1. Industria de la alimentación, bebidas y tabaco;España;846954,2626;1006947,821;1226437,019;1126475,92;1309309,982;1511327,431;1733775,773;2046801,454;1508408,805;2133591,281;2507841,184;2515721,868;2092963,136;2222133;2430956,069;2385007,344;2270854,458;2070739,921;1530110,163;1890819,935;2067219,335;2338661,53;2514527,859;3308509,725;3489040,32;3474313,111;3567057,282;3862335,954;3289532,84;4397373,97;3532038,548;3779582,471;3946509,627;4142817,175;4866494,834;5335572,431;3872471,999;3815534,179;4136647,533;4256887,557;4501612,914;4177488,711;4718176,094;4305853,219;5191998,294;3938798,784;4742748,315;4866836,709;5292327,758;5494752,845;5501568,099;7384398,414;8844178,405;9026979,843;10248451,87;11101313,27;10698097,18;10495775,44;10462722,97;10699942,4;11404048,09;12078679,52
